"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"69",-3.59935741866398,-6.75766270674188,9.33783775967846,1.50405483643269,-3.51425610594187
"34",11.4153246518164,5.95060959068558,-3.66150847282976,5.99958684596919,0.715783931625332
"158",11.6507393959177,1.8948046392309,-2.64605643808715,4.04429244641817,-3.02210448820909
"14",5.36613172938572,4.76576799543433,-0.450245479362173,-2.2209378612368,-4.87786908551533
"98",11.6014164547888,6.38138123941905,-3.84347644223428,5.3367581396582,0.880058902088956
"5",5.58613672120759,6.19566550183482,-0.166340602662308,-1.81822875398816,-4.45701423818465
"8",11.2926551883039,2.00741415366644,-2.78241439882401,4.00632492752662,-2.96616794194958
"43",3.6950753338176,5.13510352926768,-0.567954364094491,-3.45623245488046,-3.81599960274691
"7",4.38202543663838,2.62267706256098,2.63699126885165,-7.0098815543799,-1.66518981342351
"33",12.0012019063056,6.09634719041193,-5.14699586638711,5.70020401601752,0.532660556070045
"12",5.31883658834597,4.71511368361159,0.0470214059987765,-2.65583309942424,-5.02225009229318
"87",2.95265280555326,5.17768090171088,-0.601341335292597,-2.75682784349353,-4.274128369576
"18",5.49446609061119,2.3245568704296,-1.74132030163665,7.44437320762723,-0.256397971070042
"16",5.13581976756849,3.75084829479159,1.2320084303874,-7.50531939720292,-1.79262205920846
"13",5.43518762363693,4.90055780716086,0.535258697430743,-2.82509264030239,-4.13559888224307
"89",4.17297129042318,2.47372704770327,0.782441884324463,-9.66179634578096,-2.19405156007643
"113",-6.18544262870782,6.37933760518865,1.33381347750543,2.80750980220282,-4.28227129426151
"123",4.29031424783305,-10.4278866697782,8.75970986909527,4.73417538664264,-1.41856498965374
"125",4.86571811466127,5.14652955333488,-1.2281766277216,-1.6141773402072,-3.11924799475816
"55",3.94898227045608,2.10111626261719,1.89598139219859,-8.61508723271814,-3.07191661697342
"52",12.0075166548798,6.81096122496933,-4.26680344039531,5.50206747298971,1.09642944124296
"128",3.83984579972657,5.32072744394494,0.749260085615462,-2.52833940078661,-5.41184497725304
"22",4.49983150957418,4.06471914027023,1.22973521094727,-7.86006999625839,-1.88210540446585
"90",3.66473707532578,5.7608039404671,-0.210542549526282,-3.77917701440838,-4.21155436063698
"15",3.97952896505025,1.93534171298013,0.939176263834694,-10.011614455235,-2.08479999637042
"103",-2.66077576789936,-3.48457324212002,7.64326110920904,7.42126105579695,-5.47620857204
"4",2.78428244575663,3.9002899169445,0.962821186684094,-5.11770482554077,-2.91753570699734
"57",3.87897117301907,1.96105203644715,1.94430241729015,-8.8980172306155,-3.04573222105085
"32",-0.775380671889626,2.80331858105532,-4.70342656939077,10.3401017437567,18.7105413365245
"35",2.02562701918319,-12.8027473735041,8.91173888470212,4.37921585562701,-1.05806367168205
"28",-3.50166531280773,-6.72123947513788,9.53222759917244,1.38284803980645,-3.84654469113715
"45",3.46914654914164,2.59729179251876,1.66838523077293,-8.88382469831971,-2.96420788154286
"26",11.8537936697875,6.6504011305062,-3.9985757204039,6.01860663605517,0.669299364553285
"25",4.78480617496768,3.54193856240884,1.36914126741959,-7.78580725492647,-1.84437840871216
"46",4.09347093405508,4.74734063564846,-0.0942835838312483,4.727200476757,-2.84382881430144
"84",1.65445742024838,-13.2094376825821,9.51529684563679,5.07118759801065,-0.222103880347049
"36",12.0263872140786,6.82969361747159,-4.4968776392229,5.72773264526063,0.884627755945914
"53",11.9325380916325,6.58571573222868,-3.91439996642751,5.79184343099279,0.449304084881977
"24",4.75566776050879,3.75627549459338,1.30072843944513,-7.82104783514189,-1.8478448531068
"41",4.1769048452322,4.59674096671199,-0.112884242024489,4.24074486495064,-2.68192639123114
"39",11.8563605731305,2.39706598294463,-3.03829638217018,4.80285825167778,-2.35532490002022
"30",12.0734964630197,6.61485792982249,-3.76241834883795,6.25219812091846,0.308686005857054
"20",4.05176450529217,2.68019777427895,1.14865365607277,-7.29810120721388,-3.69637997542976
"105",3.76724274856871,2.20278694342082,0.921624119170141,-10.0176489444093,-2.16430755095908
"42",11.5667628677477,6.41822141557711,-3.9794596135829,5.4408098675759,1.01898350923322
"129",-2.94797098139767,-5.94869125622689,8.55093627019746,4.46622720764346,-3.32864107297126
"118",11.3157653986097,7.32363769318442,-4.7206247737986,4.48013675154927,1.67063947671542
"58",-5.33759266374424,-8.74203972170892,6.42732681139357,0.638521678996132,-1.86379470801554
"48",4.42225850012094,4.11235548964733,1.28318560539569,-7.72574461894962,-2.09549912611328
"51",3.75515393942734,2.26318742131335,0.930526916599961,-10.1188905131524,-2.27448502201652
"146",11.4138561543435,4.1372790615939,-4.04523644387984,4.57178728612861,2.1187252328865
"101",-2.84366204004003,-7.18761395587642,9.87789031219907,1.66476633858299,-4.26790990624506
"38",11.797268474869,6.92101552237825,-4.19775931853626,5.2110460879185,0.900987352659436
"100",2.51850270958332,-13.1574377624634,8.81870212122178,4.7055172322925,-0.337675474144985
"117",-3.45811527835466,-6.76223789037404,9.58566868300574,1.4158357117486,-3.89179169436675
"85",11.3361660380668,7.12344282386792,-5.01634607315636,5.14302149851043,1.5997203404104
"151",-3.81346087005586,8.45335776371039,-0.147167097636969,7.02036787645343,-3.08423227112575
"59",4.1975553406692,-10.3712761368483,8.73801221367837,4.59748218325354,-1.37776123684817
"17",2.23464389944225,-12.8304312626509,8.9144099327866,4.4651962660166,-1.20705904994211
"61",10.7072024237925,2.20344617995893,-4.3526051840941,5.61232381490289,-4.09014144950644
"91",-1.27730502059522,-2.3059636024043,6.75392899078594,5.64759611959943,-4.84589034848824
"86",-2.96098763236797,-3.68252610604901,7.26598291225482,7.76587651487392,-5.89284078113496
"127",3.07327374136914,1.1725828498282,3.17029314772996,-7.70905276386502,-3.01063675282795
"1",8.3939216114907,1.73679026751941,-2.5302234513349,-0.519900920287838,1.65298334500301
"126",-11.4480224188728,9.53966518104705,-1.72405469956633,5.02537687441952,1.95316671820023
"9",4.45296337928739,3.45355163791602,1.98889205074,-7.4200072797823,-2.80853177964848
"73",11.9630330243487,6.39050947250295,-4.39636347908476,6.3790339826957,0.0323724230197032
