V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,feature
1.207937344,1.187733047,2.832628061,2.693892506,3.205712859,2.798883408,3.738600147,4.715200533,4.432811108,5.286073246,PubchemFP712
0.598641938,1.564416312,1.542206447,2.334177441,4.559207813,5.090028318,3.294057016,2.13922544,4.57248074,4.390430852,PubchemFP12
1.940577753,2.083396022,0.696168294,1.473396559,3.24696617,3.406759092,2.334752755,2.555178593,3.457646657,4.342635344,PubchemFP2
1.000676035,1.464174643,1.701844654,1.390081406,1.861515987,2.448851205,2.647903013,2.49011655,5.258882937,4.643878123,PubchemFP192
0.422809043,1.092599425,1.259239122,2.045061088,1.304365016,2.669627189,3.882305619,3.306216154,3.843596457,3.565873777,PubchemFP537
1.35453424,1.915585321,3.271886386,2.161015073,2.471655813,1.822273897,2.565679011,2.707092347,1.816913225,2.842011743,PubchemFP758
1.167489834,1.160798535,2.152338221,1.791812889,2.127872154,3.331426862,2.73331528,2.50909907,2.162050039,3.307874826,PubchemFP335
1.512089353,1.011137619,1.814707344,2.860057656,2.192864135,1.161940736,3.034052946,3.278938231,2.408232816,2.417396905,PubchemFP462
0.376705319,2.602145694,1.040263353,1.995148496,1.798107947,2.431004089,3.301485887,2.948468314,3.088099375,2.069130077,PubchemFP432
0.922622289,0.960675602,1.673735035,2.277140916,2.230694983,1.808597203,3.437290559,2.964222678,1.055414584,3.29250549,PubchemFP821
0.657450755,1.515131227,1.835363543,1.392535922,2.105553172,2.329318839,2.529903003,2.241644121,2.090497895,2.68566502,PubchemFP696
0.875213105,1.310860222,2.502552882,2.198359005,1.172155826,2.070989815,1.511402652,1.843325953,1.668423043,2.351419617,PubchemFP451
0.629713291,1.026102289,1.582805481,1.570717313,2.442059602,2.182847857,1.710867406,2.353245405,1.118825703,1.807492058,PubchemFP697
1.274909494,1.302137459,0.813949197,1.974819084,0.912010558,2.130474455,1.566572772,2.362057578,1.748353825,1.980362908,PubchemFP646
0.50183209,1.001157948,1.695290008,0.816148689,1.306805391,2.094234465,1.038338029,2.68630206,2.621832007,2.210363686,PubchemFP574
0.511690765,1.16174907,1.259062654,1.434376793,1.14889688,1.207513985,2.00786148,2.933123662,2.200905939,1.58888226,PubchemFP185
1.298424086,0.736855039,1.530061792,0.23772464,1.682315454,1.663092761,1.474701361,1.781873369,1.406529097,1.57028042,PubchemFP645
